sset No,Description,Status,ราคาเช่า,
350,A65-37,100L,ใช้งาน,150,1
642,A65-38,100L,ใช้งาน,150,1
641,A65-40,100L,ใช้งาน,150,1
478,A65-42,100L,ใช้งาน,150,1
480,A65-46,100L,ใช้งาน,150,1
497,A65-51,100L,ใช้งาน,150,1
638,A65-52,100L,ใช้งาน,150,1
363,A65-53,100L,ใช้งาน,150,1
637,A65-57,100L,ใช้งาน,150,1
636,A65-58,100L,ใช้งาน,150,1
634,A65-61,100L,ใช้งาน,150,1
632,A65-63,100L,ใช้งาน,150,1
631,A65-64,100L,ใช้งาน,150,1
628,A65-68,100L,ใช้งาน,150,1
626,A65-70,100L,ใช้งาน,150,1
625,A65-72,100L,ใช้งาน,150,1
624,A65-73,100L,ใช้งาน,150,1
623,A65-75,100L,ใช้งาน,150,1
622,A65-76,100L,ใช้งาน,150,1
621,A65-77,100L,ใช้งาน,150,1
620,A65-78,100L,ใช้งาน,150,1
619,A65-79,100L,ใช้งาน,150,1
618,A65-80,100L,ใช้งาน,150,1
476,A66-01,100L,ใช้งาน,150,1
474,A66-03,100L,ใช้งาน,150,1
473,A66-04,100L,ใช้งาน,150,1
472,A66-06,100L,ใช้งาน,150,1
471,A66-07,100L,ใช้งาน,150,1
470,A66-08,100L,ใช้งาน,150,1
468,A66-10,100L,ใช้งาน,150,1
465,A66-13,100L,ใช้งาน,150,1
463,A66-15,100L,ใช้งาน,150,1
460,A66-18,100L,ใช้งาน,150,1
459,A66-19,100L,ใช้งาน,150,1
458,A66-20,100L,ใช้งาน,150,1
456,A66-22,100L,ใช้งาน,150,1
455,A66-23,100L,ใช้งาน,150,1
453,A66-25,100L,ใช้งาน,150,1
452,A66-26,100L,ใช้งาน,150,1
450,A66-28,100L,ใช้งาน,150,1
448,A66-30,100L,ใช้งาน,150,1
447,A66-31,100L,ใช้งาน,150,1
446,A66-32,100L,ใช้งาน,150,1
445,A66-33,100L,ใช้งาน,150,1
444,A66-34,100L,ใช้งาน,150,1
443,A66-35,100L,ใช้งาน,150,1
442,A66-36,100L,ใช้งาน,150,1
441,A66-37,100L,ใช้งาน,150,1
440,A66-38,100L,ใช้งาน,150,1
439,A66-39,100L,ใช้งาน,150,1
438,A66-40,100L,ใช้งาน,150,1
321,A67-01,100L,ใช้งาน,150,1
318,A67-04,100L,ใช้งาน,150,1
317,A67-05,100L,ใช้งาน,150,1
316,A67-06,100L,ใช้งาน,150,1
315,A67-07,100L,ใช้งาน,150,1
305,A67-17,100L,ใช้งาน,150,1
277,A67-45,100L,ใช้งาน,150,1
275,A67-47,100L,ใช้งาน,150,1
504,B.08,,ใช้งาน,,1
511,B.149,,ใช้งาน,,1
520,B.230,,ใช้งาน,,1
326,B.281,,ใช้งาน,,1
335,B.312,นครปฐมธารทิพย์,ใช้งาน,,1
533,B.329,,ใช้งาน,,1
330,B.35,,ใช้งาน,,1
506,B.361,,ใช้งาน,,1
519,B.368,,ใช้งาน,,1
